Date,Tweet,User Handle,In Reply To,Follower,Following,Listed,Retweet
1/29/2016 23:59,"RT @Broncos: Who are the five most underrated players in #SB50?#TheSqueeze via @ESPNInsider https://t.co/gDhWUrp09n https://t.co/mesfpB4eâ€_",EbertRoss,,44,149,0,88
1/29/2016 23:59,"RT @Beating_TheOdds: Who will win #SuperBowl50 ?RT - Carolina PanthersFAV - Denver Broncos https://t.co/MRfiEm9D6w",jayholman78,,477,664,25,551
1/29/2016 23:58,@jeremy_hance #SB50 fans can now pledge to make the 1st ever #NetPositive big game. An #environmental win! https://t.co/nqlOMVjy4i,TerraPass,jeremy_hance,1901,1477,169,0
1/29/2016 23:58,RT @Tyga: Supporting #WoundedWarriors  at @celebritysweat1 Flag football challenge this wknd #superbowl50 gettin game ready! https://t.co/Tâ€_,traysor1,,597,950,0,280
1/29/2016 23:58,RT @mikepersinger: Some longtime Panthers PSL owners peeved about lack of #SB50 tickets. @katieperalta: https://t.co/Uh5qvID9HY https://t.câ€_,JordanBeall,,201,426,7,5
1/29/2016 23:58,RT @Covers: So far the Panthers are seeing an insane 94% of the #SuperBowl50 action per @WilliamHillUS https://t.co/4Hu7PFKpYJ,Travis_Blubaugh,,87,203,4,37
1/29/2016 23:58,Welcome #SuperBowl 50! #SuperBowlCity #SuperBowl50 #BroncosvsPanthers #soma #sfeats https://t.co/qfFvs7dx5M,UmbriaSF,,54,7,4,0
1/29/2016 23:58,"Come on guys, a lottery ticket that can get you a ticket to the Superbowl you know you want to go! @SlackerandSteve #SB50 #Broncos #Football",wkanaly,,13,47,0,0
1/29/2016 23:58,RT @Digiday: RT @garettsloane: Twitter's head of content tells brands to prepare for #superbowl50 and hope for left shark https://t.co/b1bJâ€_,zeesh2,,2357,2140,171,1
1/29/2016 23:58,.@Panthers #KeepPounding signage up at Levi's Stadium for #SB50. @PhilHecken @darrenrovell https://t.co/ihvp7A3qdN,Joe_Fann,,3809,611,214,5
1/29/2016 23:58,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,pfsapphire,,237,330,41,18
1/29/2016 23:58,.@TMobile to run 2 ads in @superbowl50,bristei,,8527,1119,571,0
1/29/2016 23:58,RT @mherr5: @1043TheFan only a couple days till we take that place over! #BroncosTakeoverSF #SB50 #Denver,FreddyGDEN14,,524,2000,20,1
1/29/2016 23:58,"RT @Broncos: Who are the five most underrated players in #SB50?#TheSqueeze via @ESPNInsider https://t.co/gDhWUrp09n https://t.co/mesfpB4eâ€_",JoeyRozay303,,109,136,4,88
1/29/2016 23:58,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,FridayFireball,,53,12,39,18
1/29/2016 23:58,"The corner of State &amp; 4th is the center of MKE Hoops, #Bucks #UWM hosting games. On @fox6now @6 we'll preview both plus #SuperBowl50 preps.",BrandonCruzFOX6,,1765,2755,63,0
1/29/2016 23:58,"RT @mherr5: @ShannonSharpe @witorsch we like Cam too, just not this week! #BroncosTakeoverSF #SB50 #Denver #BeatThePanthers",FreddyGDEN14,,524,2000,20,1
1/29/2016 23:58,Listen: Our @lofton80 talks with @packers great Willie Davis about playing in Super Bowls I and II #SB50  https://t.co/4R1lQpKLVZ,westwood1sports,,4149,179,106,1
1/29/2016 23:58,@Martin_Lukacs BIG NEWS! @TerraPass &amp; @SuperBowl50 have teamed up for the 1st ever #NetPositive #SB50.  https://t.co/nqlOMVjy4i,TerraPass,Martin_Lukacs,1901,1477,169,0
1/29/2016 23:58,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",GMaibohm,,24,66,3,463
1/29/2016 23:58,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,LVGoGoDancin,,63,137,32,18
1/29/2016 23:58,"RT @ronNcaphill: @dmac I'll be invading San Francisco on behalf of #BroncosCountry beginning tomorrow. My 10th SB wk of last 15!#BroncosTâ€_",FreddyGDEN14,,524,2000,20,1
1/29/2016 23:58,RT @GettySport: NFC Champs! #AZvsCAR #SB50 https://t.co/suD4SGF3wm https://t.co/VcWEdHnYBW,PJGOLIVE,,1846,1061,19,190
1/29/2016 23:58,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,cyberplaymate,,53,49,33,18
1/29/2016 23:58,As many men (43) have been President of the United States as have been MVPs of the Super Bowl. @superbowl50,pelletierdave,,166,736,3,0
1/29/2016 23:58,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",CaptainBoricua,,21083,15904,32,463
1/29/2016 23:58,Purchase your LIMITED EDITION Delta-13 Elite BRONCOS Rack! Super Bowl 50! #superbowl50 #delta13 #broncospanthers https://t.co/8jGmQUq9EB,TheDelta13,,699,765,12,2
1/29/2016 23:58,RT @IvyMaeLRN: I want to try all 5! Cum see me @LoveRanchNorth #SuperBowl50 and chose ur fav position @DennisHof. https://t.co/piW8IwU3RC vâ€_,RobinSheri2,,316,356,9,2
1/29/2016 23:58,"RT @peanuttillman: Win an all expense paid trip 2 attend #SuperBowl50! Proceeds benefit Cornerstone Foundationhttps://t.co/6PxwGQucy7 httpâ€_",SubtitledNinja3,,20,88,0,36
1/29/2016 23:58,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,TheJoshStokes,,1164,1017,45,18
1/29/2016 23:58,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",mikal_xc,,73,71,0,463
1/29/2016 23:58,RT @abc7newsBayArea: WATCH LIVE: Another storm moves into the Bay Area. The affect it could have on #SB50 festivities on ABC7 at 4PM: httpsâ€_,mynameistere,,167,941,3,5
1/29/2016 23:58,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,Steele_LV,,307,276,37,18
1/29/2016 23:58,"RT @Broncos: Who are the five most underrated players in #SB50?#TheSqueeze via @ESPNInsider https://t.co/gDhWUrp09n https://t.co/mesfpB4eâ€_",babysdoc,,1441,1134,105,88
1/29/2016 23:58,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,dayclubinvegas,,71,17,29,18
1/29/2016 23:58,RT @thdivewhisperer: Oh my. Pimento Cheese Fries? #superbowl50 https://t.co/aCeHqx6zac,scmclark,,419,1036,20,2
1/29/2016 23:58,"RT @LevisStadium: Alright @Panthers. Your end zone is up next.Tune in for the final product. #KeepPounding #SB50 https://t.co/fpsxCTF5Kh",WhoDeyTurf,,3035,2638,48,65
1/29/2016 23:58,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,slvavn,,402,795,34,18
1/29/2016 23:58,RT @thadendeezy: YO #SuperBowl50 visitors! My #SanFrancisco #Foodie recommendations are: @Anthonyscookies @BobaGuys @tonyspizza415 @senorsiâ€_,Anthonyscookies,,1594,107,95,2
1/29/2016 23:58,RT @ToddFuhrman: Counter limits for #SB50 at @StationCasinos https://t.co/Iq5W7qKstk,Mdemag1,,398,919,22,8
1/29/2016 23:58,"RT @Broncos: Who are the five most underrated players in #SB50?#TheSqueeze via @ESPNInsider https://t.co/gDhWUrp09n https://t.co/mesfpB4eâ€_",gtmclarty,,140,563,3,88
1/29/2016 23:57,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,MenOfSapphireLV,,2965,2345,55,18
1/29/2016 23:57,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",__cashmonie,,265,134,1,463
1/29/2016 23:57,RT @BetTheSuperBowl: We rank the 7 best places to bet the Super Bowl online! https://t.co/8NqsKuQHny Check it out! #BroncosCountry #SB50 htâ€_,barsalouqh,,32,420,9,5625
1/29/2016 23:57,"RT @peanuttillman: Win an all expense paid trip 2 attend #SuperBowl50! Proceeds benefit Cornerstone Foundationhttps://t.co/6PxwGQucy7 httpâ€_",JerryAzumah,,45507,233,716,36
1/29/2016 23:57,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,SapphireComedy,,5886,4522,76,18
1/29/2016 23:57,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",power0fplay,,579,846,11,463
1/29/2016 23:57,Ain't No Stopping Us Now _Ÿ_¶ #SuperBowl50 #CARvsDEN #CarolinaPanthers #KeepPounding https://t.co/77P8f6uhvI,BranNu_Reece,,321,859,8,0
1/29/2016 23:57,RT @NFL: And then there were two. #SB50 https://t.co/m8B8RhdYQt,Fetty_Cher_wap,,454,676,7,5485
1/29/2016 23:57,"RT @PanthersCR: California Dreaming? 2 tickets to #SuperBowl50 are up on the #KeepPounding Auction!Bid Here&gt;https://t.co/cjNSK0HPoZ https:â€_",GMaibohm,,24,66,3,74
1/29/2016 23:57,"RT @CarPanthersNews: .@SHAQ knows what's up!!!#KeepPounding #SB50 (H/T @HIT_STIQ4) https://t.co/Rg9iAM10UF",IAmjaysmoovee,,408,194,2,120
1/29/2016 23:57,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,SapphireCharity,,3588,2072,60,18
1/29/2016 23:57,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,SapphireDayClub,,18983,8157,156,18
1/29/2016 23:57,"RT @LeoraKitty78: For my birthday, I'd like to go to #SB50. I'd be going as a crazy #Broncos fan and a writer for @NFLFemale. So, expense iâ€_",suepafan,,376,1325,6,1
1/29/2016 23:57,WATCH LIVE: Another storm moves into the Bay Area. The affect it could have on #SB50 festivities on ABC7 at 4PM: https://t.co/qzMZSre1y0,abc7newsBayArea,,221890,25885,4069,5
1/29/2016 23:57,RT @MarlyRiveraESPN: Shortly on @SportsCenter: Ron Rivera on his Mexican/Puerto Rican roots and main reason why @Panthers are #SB50 bound hâ€_,FonziGarcia,,329,566,6,3
1/29/2016 23:57,#SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.co/Yyt6tgz3tI,SapphireLV,,43950,45685,421,18
1/29/2016 23:57,"RT @uppityfag: Hey @ShaunOsburn: #SF pretty much loves you today! $10,000 for tents! #SB50 @MayorEdLee @Scott_Wiener @cwnevius @NFL https:/â€_",strngwys,,10505,1277,485,2
1/29/2016 23:57,The Riordan Band is getting ready for @SuperBowl performances this week @SB50. More Info: https://t.co/tnuIta3JM1 https://t.co/N1fZEkN7I0,RiordanHS,,1296,697,40,0
1/29/2016 23:57,"RT @BenjaminSWatson: Very proud of my beautiful wife, speaking about her #SuperBowl experience, and giving advice to wives of #SB50. @CBShâ€_",dbsmit,,32,49,1,29
1/29/2016 23:57,"Hey @ShaunOsburn: #SF pretty much loves you today! $10,000 for tents! #SB50 @MayorEdLee @Scott_Wiener @cwnevius @NFL https://t.co/BdLCU6ST1z",uppityfag,,4538,4582,249,2
1/29/2016 23:57,RT @lizzzyacker: To my friends in the Bay: Portland welcomes you during your time of #SuperBowl50 related tribulation. https://t.co/pc3HaLEâ€_,wweek,,75363,419,1700,6
1/29/2016 23:57,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",LBGPistolT,,140,756,4,463
1/29/2016 23:56,"I took 5 different forms of transit to get to work today: bus, ferry, muni, Caltrain and Uber. I'm over #SB50",elizabethcha,,339,570,34,0
1/29/2016 23:56,"RT @Broncos: Kubiak: ""I've got a smile on my face today because my team practiced well today. ... They're getting ready to play."" #SB50",Jay__Cashh,,399,488,0,110
1/29/2016 23:56,"RT @Broncos: Who are the five most underrated players in #SB50?#TheSqueeze via @ESPNInsider https://t.co/gDhWUrp09n https://t.co/mesfpB4eâ€_",KieferEdwards,,896,702,27,88
1/29/2016 23:56,RT @Tyga: Supporting #WoundedWarriors  at @celebritysweat1 Flag football challenge this wknd #superbowl50 gettin game ready! https://t.co/Tâ€_,jakemillerxxxx,,224,242,1,280
1/29/2016 23:56,RT @Tyga: Supporting #WoundedWarriors  at @celebritysweat1 Flag football challenge this wknd #superbowl50 gettin game ready! https://t.co/Tâ€_,sydneys011,,542,457,6,280
1/29/2016 23:56,RT @JohnCBS4: This @Broncos cake masterpiece was just delivered to our newsroom. Thanks @leBakeryDenver! #NEvsDEN #BroncosCountry https://tâ€_,Dollysuemartin,,422,872,14,6
1/29/2016 23:56,RT @SandhyaABC7: Weather's cooperating for #SB50 festivities tomorrow!  Anyone attending? https://t.co/lRq3WIRCZ3,Lovelytima09,,844,2049,16,1
1/29/2016 23:56,Video: @SacBee_JoeD talks @Panthers and former #GrantHigh star @ShaqThompson_7 in advance of #SuperBowl50 https://t.co/HLmuCkrdl9,NewsFletch,,4761,2362,299,5
1/29/2016 23:56,Carolina Panthers team colors inspired hoop by THEACCESSORIEDOLL https://t.co/jDZUkvV728 via @Etsy #carolinapanthers #football #superbowl50,kimylatrice,,1029,2005,75,0
1/29/2016 23:56,@CarPanthersNews You have to repost this! #PantherNation #KeepPounding #SuperBowl50 https://t.co/6JvCFiAoCV,CouponDivaDes,CarPanthersNews,8901,9355,192,0
1/29/2016 23:56,@DeMarcusWare Is it true you are watching a movie called The Blind Side on a continuous loop for your @superbowl50 prep?_Ÿ˜‰,talkingheadsaid,DeMarcusWare,24,163,2,0
1/29/2016 23:56,RT @bobandsheri: â€œ@sherilynch: FUMBLE! ground crew paints 2 @Broncos end zones for #SB50 _Ÿ˜‚ https://t.co/i7fOMU15fyâ€ù hahahahaha,DangerousHumor,,16,22,2,1
1/29/2016 23:56,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",chaseh19,,114,281,1,463
1/29/2016 23:56,"If you like helmet cars, visit this one at #SFO, on display for #SB50  https://t.co/k3sTB9YMcx",cscjr,,355,754,26,0
1/29/2016 23:56,"@dmac I'll be invading San Francisco on behalf of #BroncosCountry beginning tomorrow. My 10th SB wk of last 15!#BroncosTakeOverSF",ronNcaphill,DMac,429,1690,15,1
1/29/2016 23:56,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",lacedupjay,,1012,1541,12,463
1/29/2016 23:56,RT @shamptonian: Escape from #SuperBowlCity #SB50 https://t.co/2xD6OFJUTA,K2Kupferman,,25,100,0,27
1/29/2016 23:56,Friday Night Football is live in less than 10 minutes. Tonight .@JPPetersonSprts talks #Bucs at the #ProBowl and looks ahead to #SuperBowl50,620wdae,,19358,8785,543,1
1/29/2016 23:56,#SanFrancisco for #SuperBowl50 ? Make the most with a #GoCard https://t.co/nTcem6KQn2 https://t.co/7Yhl9Ae56X,CheeseTraveller,,13663,12595,1676,0
1/29/2016 23:56,"RT @Beating_TheOdds: Who will win #SuperBowl50 ?RT - Carolina PanthersFAV - Denver Broncos https://t.co/MRfiEm9D6w",Jeff_Carpenter2,,65,126,0,551
1/29/2016 23:56,"RT @wsoctv: {RT} if you can't wait! 9 days, 0 hours, 0 minutes until #SB50 #PanthersPride #KeepPounding https://t.co/693EemldpR https://t.â€_",MintHillMiddle,,559,505,32,16
1/29/2016 23:56,"RT @Broncos: Who are the five most underrated players in #SB50?#TheSqueeze via @ESPNInsider https://t.co/gDhWUrp09n https://t.co/mesfpB4eâ€_",AndrewMahlow1,,1485,984,11,88
1/29/2016 23:56,Wet preparations under way for #sb50 powered by @sapsv https://t.co/yf9EPnSjkN,sapfrog,,532,469,20,0
1/29/2016 23:56,RT @mikepersinger: Thomas Davis in #SB50 with broken arm just latest NFL player to push envelope. @kgarloch https://t.co/AwVNu42ifV https:/â€_,Whatsizebilly,,450,2026,76,5
1/29/2016 23:56,Denver Broncos team colors inspired hoop by THEACCESSORIEDOLL https://t.co/6Nn1vPMaJY via @Etsy #denverbroncos #superbowl50 #Denver #broncos,kimylatrice,,1029,2005,75,0
1/29/2016 23:56,RT @ToddFuhrman: Counter limits for #SB50 at @StationCasinos https://t.co/Iq5W7qKstk,BetfairRage,,82,95,25,8
1/29/2016 23:56,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",b_snyd2,,382,279,0,463
1/29/2016 23:56,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",KanyonCombs80,,206,812,2,463
1/29/2016 23:56,"Derrick explains how the big game tradition began.  #SB50https://t.co/BLr5XYUXVD",HeySandyPR,,227,440,10,1
1/29/2016 23:56,"RT @Broncos: Who are the five most underrated players in #SB50?#TheSqueeze via @ESPNInsider https://t.co/gDhWUrp09n https://t.co/mesfpB4eâ€_",TamiCloward,,13,65,0,88
1/29/2016 23:55,"Ran top boat into Str8flush on 98679 board, but still trucking at 42k heading into 800bb. Dinner in 40min #sb50 #BWPO16 #1k6max",AppstOnSome,,690,537,34,0
1/29/2016 23:55,RT @ToddFuhrman: Counter limits for #SB50 at @StationCasinos https://t.co/Iq5W7qKstk,JordanSDorsett,,2328,2896,34,8
1/29/2016 23:55,"RT @sonnylebythebay: The #homeless, detritus of #consumer culture, sheltering in @SFBART station whose walls festooned w/#SuperBowl50 ads hâ€_",somanystyles,,1167,1310,57,1
1/29/2016 23:55,"RT @BenjaminSWatson: Very proud of my beautiful wife, speaking about her #SuperBowl experience, and giving advice to wives of #SB50. @CBShâ€_",SullivanFelecia,,40,455,1,29
1/29/2016 23:55,Super Bowl City opens tommorrow for #SB50. Are you ready? Here's what you can do there: https://t.co/D4EKJYSKt8 #superbowl #superbowlcity,LifestyleMarin,,408,283,27,0
1/29/2016 23:55,Canadians here for #SB50? If you need emergency consular services this weekend please call 1-888-949-9993,CanCGSF,,1230,452,81,1
1/29/2016 23:55,RT @TopShelfBreaks: RT &amp; USE #TSB50 chance to win FREE SPOT in a @paniniamerica break #Superbowl50 sunday #AreYouIn https://t.co/9Rj4r5gInj,bthawks,,863,1147,35,60
1/29/2016 23:55,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",Jhubby17,,447,377,5,463
1/29/2016 23:55,RT @newsdamian: Installing new surveillance cameras at Plaza de Cesar Chavez for #SuperBowl50 festivities in San Jose https://t.co/6qPErpT2â€_,1StevieMarie,,1428,2092,34,6
1/29/2016 23:55,RT @minkasupay: #Minkasu is sending someone to #SB50. Retweet and Follow to WIN a $25 Amazon Gift Card; Ends: Feb 5 #MobilePayments https:/â€_,_Steven87,,941,1951,201,38
1/29/2016 23:55,Weather's cooperating for #SB50 festivities tomorrow!  Anyone attending? https://t.co/lRq3WIRCZ3,SandhyaABC7,,8912,403,255,1
1/29/2016 23:55,"#SB50 is tough to pick for a #pickem pick, could pick either way.",oshuaj,,400,1230,33,0
1/29/2016 23:55,https://t.co/cyJ96rWZLo #SB50 because why not,LandscaperBill,,3055,1773,81,0
1/29/2016 23:55,"RT @NFLGameDay: 9.The number of career INTs for @RiverboatRonHC.#SB50 https://t.co/YgFhAhUObQ",collins2020_doc,,7,21,0,9
1/29/2016 23:54,I want to try all 5! Cum see me @LoveRanchNorth #SuperBowl50 and chose ur fav position @DennisHof. https://t.co/piW8IwU3RC via Cosmopolitan,IvyMaeLRN,,4135,593,34,2
1/29/2016 23:54,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",K_Crig,,251,210,15,463
1/29/2016 23:54,"@MyBullieAndMe will judge each picture based on the Model, Pet(s), &amp; Overall Photo #SuperBowl50 #Modeling #Contest https://t.co/kxZezv8voB",MyBullieAndMe,MyBullieAndMe,2795,61,2,0
1/29/2016 23:54,@TravelLeisure Now that's a weiner... goodness #superbowl50,connie021371,TravelLeisure,385,3115,5,0
1/29/2016 23:54,"RT @Beating_TheOdds: Who will win #SuperBowl50 ?RT - Carolina PanthersFAV - Denver Broncos https://t.co/MRfiEm9D6w",sierrabauer4,,127,236,0,551
1/29/2016 23:54,RT @GettySport: NFC Champs! #AZvsCAR #SB50 https://t.co/suD4SGF3wm https://t.co/VcWEdHnYBW,Savannah_Josie,,302,236,3,190
1/29/2016 23:54,"RT @Panthers: One last practice in Charlotte Â» https://t.co/VaWBqHmxz5#SB50 #KeepPounding https://t.co/0nKjRXRV4t",Poopmac42,,51,290,2,463
1/29/2016 23:54,@303MP I paid $50 for my parking pass. That isn't enough? What a rip off :( #Broncos #SB50,Mariabfoxy,303MP,442,259,12,0
1/29/2016 23:54,"RT @NFLGameDay: 9.The number of career INTs for @RiverboatRonHC.#SB50 https://t.co/YgFhAhUObQ",harvardbilly,,170,334,14,9
1/29/2016 23:54,"RT @Panthers: Always With Us. #TEAM #SB50 #KeepPounding https://t.co/fCUwhaJSZL",PantherTweets89,,220,253,3,861
1/29/2016 23:54,Let the Super Bowl 50 events commence. _Ÿèˆ_Ÿ_‰_Ÿè¢ #superbowl50 #downtownsanjose #sanjose #parksâ€_ https://t.co/Sx6eMetdIR,JRBphoto,,248,677,38,0
1/29/2016 23:54,"RT @Panthers: Always With Us. #TEAM #SB50 #KeepPounding https://t.co/fCUwhaJSZL",MontrayP,,793,1466,1,861
1/29/2016 23:54,RT @mikepersinger: Thomas Davis in #SB50 with broken arm just latest NFL player to push envelope. @kgarloch https://t.co/AwVNu42ifV https:/â€_,theobserver,,104780,703,1956,5
1/29/2016 23:54,pretty interesting that both teams John Fox used to coach are now in the Super Bowl. #SB50 @broncos #keepdoubting @panthers #keeppounding,sportomax,,64,223,2,0
1/29/2016 23:54,Counter limits for #SB50 at @StationCasinos https://t.co/Iq5W7qKstk,ToddFuhrman,,63393,535,1386,8
1/29/2016 23:54,RT @Panthers: Quite a crowd at the #PanthersPride Rally! https://t.co/n8ws8qsQRD,JohnB_Lives,,400,1533,7,786
